Index,Name,Latitude,Longitude,NELong,NELat,SWLong,SWLat,Place ID,hasBounds,randomWeight
95,"O'Connor - Parkview, Toronto, ON, Canada",43.7063972,-79.309937,"(-79.2909428,)","(43.717443,)","(-79.3317443,)","(43.69747,)",ChIJ0aiyFDXM1IkRPncDncW1MUw,1,5.571549058
96,"Thorncliffe Park, Toronto, ON, Canada",43.7080032,-79.352188,"(-79.3303178,)","(43.716392,)","(-79.36473199999999,)","(43.699361,)",ChIJTaHgW-PM1IkRKK_UdORY19o,1,8.185047784
97,"Alderwood, Toronto, ON, Canada",43.6035413,-79.5464093,"(-79.52496699999999,)","(43.61513739999999,)","(-79.5593815,)","(43.5901709,)",ChIJ4-PipxdIK4gRGAp1DcAawn8,1,6.629906235
98,"Centennial Park, Toronto, ON, Canada",43.6540421,-79.5884369,"(-79.5631599,)","(43.6729004,)","(-79.60847849999999,)","(43.6378146,)",ChIJQ3z0g0k4K4gRke6KYtxefDQ,1,4.914864354
99,"Clairville, Toronto, ON, Canada",43.7425044,-79.6221368,"(-79.59895139999999,)","(43.7567129,)","(-79.6473742,)","(43.733177,)",ChIJS5hX8Qw7K4gRxuD-rduAKXI,1,5.279777028
100,"Eatonville, Toronto, ON, Canada",43.641448,-79.5547244,"(-79.5263468,)","(43.659883,)","(-79.57869529999999,)","(43.6270672,)",ChIJg_A_XZA3K4gRQJfJDkb2y_o,1,1.388039521
101,"The Elms, Toronto, ON, Canada",43.7236919,-79.5462943,"(-79.5373249,)","(43.73222029999999,)","(-79.5619583,)","(43.709641,)",ChIJ-TMbciE6K4gRihGCsr_akyA,1,4.650135008
102,"Eringate, Toronto, ON, Canada",43.6598724,-79.5743915,"(-79.56753739999999,)","(43.6714724,)","(-79.5871925,)","(43.6515408,)",ChIJmSUsNMk5K4gRPT4zzItZfMQ,1,1.417564733
103,"Humber Heights - Westmount, Toronto, ON, Canada",43.6963578,-79.527033,"(-79.511381,)","(43.704954,)","(-79.53422619999999,)","(43.682305,)",ChIJJ7u6pNMwK4gROIHTcnHmeVg,1,6.724441916
104,"Edenbridge - Humber Valley, Toronto, ON, Canada",43.667113,-79.527974,"(-79.50580810000001,)","(43.68396389999999,)","(-79.53899799999999,)","(43.651411,)",ChIJIQSAQhk3K4gRzEAu7BB9CWE,1,8.192010203
105,"Humberwood, Toronto, ON, Canada",43.7256585,-79.619329,"(-79.61062419999999,)","(43.73479409999999,)","(-79.62740409999999,)","(43.7186365,)",ChIJ27YfBbs7K4gRiQT2KVIwvxg,1,6.987088403
106,"Islington - City Centre West, Toronto, ON, Canada",43.6309156,-79.5434841,"(-79.51286329999999,)","(43.6599241,)","(-79.5691681,)","(43.6071208,)",ChIJo4Hh-pQ3K4gRTlt-iPA_RU0,1,8.157609107
107,"Kingsview Village, Toronto, ON, Canada",43.7005039,-79.5519144,"(-79.5318317,)","(43.7066007,)","(-79.56925380000001,)","(43.6920181,)",ChIJZdGb-agwK4gReuR7aB_AFWw,1,1.359788184
108,"The Kingsway, Toronto, ON, Canada",43.652674,-79.507194,"(-79.4910621,)","(43.66266299999999,)","(-79.5263468,)","(43.6461079,)",ChIJX7Bn__42K4gR6it4A4mc0us,1,7.626479212
109,"Long Branch, Toronto, ON, Canada",43.593421,-79.538164,"(-79.51897009999999,)","(43.6015272,)","(-79.54854189999999,)","(43.5810689,)",ChIJ4Q7xIkFIK4gRyC2fmxBN2Rg,1,2.587089282
110,"Markland Wood, Toronto, ON, Canada",43.632036,-79.57514,"(-79.5568639,)","(43.64333389999999,)","(-79.58599799999999,)","(43.6254781,)",ChIJL56S4xk4K4gRJv3yBqqF6Ys,1,1.697005234
111,"Mimico, Toronto, ON, Canada",43.614627,-79.4956974,"(-79.46902510000001,)","(43.63324859999999,)","(-79.530158,)","(43.6011154,)",ChIJmzE47yM2K4gRzDw5uilTzs4,1,9.884891013
112,"New Toronto, Toronto, ON, Canada",43.6007776,-79.505257,"(-79.4973821,)","(43.61358389999999,)","(-79.5263386,)","(43.5870434,)",ChIJSYZm0M9JK4gRJj0YSZ4PokE,1,8.961512123
113,"Princess Gardens, Toronto, ON, Canada",43.6667787,-79.5462943,"(-79.53286179999999,)","(43.679915,)","(-79.5630742,)","(43.6570677,)",ChIJU6EpymU3K4gRyU5IYajdRpE,1,9.65175098
114,"Rexdale, Toronto, ON, Canada",43.7281335,-79.5746122,"(-79.5378319,)","(43.7605564,)","(-79.6313095,)","(43.6794805,)",ChIJ4ZpjnmY6K4gRXpu9Hi3a2pI,1,5.409767433
115,"Richview, Toronto, ON, Canada",43.6878699,-79.5434841,"(-79.5265458,)","(43.69983730000001,)","(-79.57749369999999,)","(43.6732728,)",ChIJeWmlr083K4gRhhzsfByOF0I,1,6.983598424
116,"Smithfield, Toronto, ON, Canada",43.7394164,-79.5884369,"(-79.5685319,)","(43.762434,)","(-79.62375639999999,)","(43.7225755,)",ChIJt7nUJu86K4gR4vPN7T4qGEc,1,6.424212394
117,"Stonegate Rd, Etobicoke, ON M8Y, Canada",43.6372726,-79.4838405,"(-79.4817035,)","(43.63788659999999,)","(-79.4855176,)","(43.636983,)",ChIJe8ukqG82K4gRjZyQ9DFds0E,1,4.948397506
118,"Sunnylea, Toronto, ON, Canada",43.6399324,-79.5125662,"(-79.4820929,)","(43.64855980000001,)","(-79.53041549999999,)","(43.6340873,)",ChIJLVzQLE42K4gRyKSYT1d9Wqo,1,4.020471937
119,"Thistletown, Toronto, ON, Canada",43.7371745,-79.5652707,"(-79.547566,)","(43.7522492,)","(-79.58599079999999,)","(43.7277058,)",ChIJjZ-dNII6K4gREmQ4yu2510w,1,5.296051356
120,"Thorncrest Village, Toronto, ON, Canada",43.6625718,-79.5392686,"(-79.5312095,)","(43.6660245,)","(-79.5447708,)","(43.6598775,)",ChIJwVubcxI3K4gR-e1-lJTLKd4,1,7.993037197
